repo,fingerprint,first_commit,quarter,is_frontend
securego/gosec,CLAUDE.md,2026-03-15T10:57:48Z,2026Q1,0
redpanda-data/connect,CLAUDE.md,2025-10-31T11:42:13Z,2025Q4,0
fsprojects/Paket,CLAUDE.md,2026-01-16T14:49:48Z,2026Q1,0
mangoszero/server,CLAUDE.md,2026-06-24T23:46:08Z,2026Q2,0
Aurealibe/claude-config,CLAUDE.md,2026-01-08T17:15:05Z,2026Q1,0
ivanreeve/upspace,CLAUDE.md,2025-11-26T06:16:41Z,2025Q4,1
fhsh-tp/fhsh.py-dojo,CLAUDE.md,2026-03-09T12:59:58Z,2026Q1,1
YU-Kawasaki-05/lifeapp,CLAUDE.md,2026-04-08T12:04:55Z,2026Q2,0
Strategic-Cowork-Consulting/confidence-routed-extraction,CLAUDE.md,2026-06-22T19:27:40Z,2026Q2,0
thomas-schweich/PAWN,CLAUDE.md,2026-03-22T18:11:32Z,2026Q1,0
openMF/mifos-gazelle,CLAUDE.md,2026-05-04T00:41:59Z,2026Q2,0
jungmin827/my-real-trip-ax-Hackaton,CLAUDE.md,2026-07-03T07:35:54Z,2026Q3,0
0gfoundation/0g-restaking-contracts,CLAUDE.md,2026-02-26T13:42:12Z,2026Q1,0
rbk-watanabe/vuln_sample_ecommerce,CLAUDE.md,2025-06-16T12:13:33Z,2025Q2,0
martingaam-hue/proavtive,CLAUDE.md,2026-04-22T12:01:08Z,2026Q2,1
RGSSoftware/text-duel-comparer,CLAUDE.md,2026-03-28T21:52:48Z,2026Q1,1
Rynaro/eidolons,CLAUDE.md,2026-04-23T19:14:12Z,2026Q2,0
anidude09/automate_mail,CLAUDE.md,2026-05-25T06:58:31Z,2026Q2,0
MonkeyDPino/giphy-app,CLAUDE.md,2026-05-16T21:18:33Z,2026Q2,1
mbalcilar/periodicAR,CLAUDE.md,2026-04-16T02:47:01Z,2026Q2,0
long-910/zenn_dev,CLAUDE.md,2026-02-21T10:04:06Z,2026Q1,0
roberteinsle/simmerbox,CLAUDE.md,2026-02-09T15:12:12Z,2026Q1,0
Tlaven/system-analyzer,CLAUDE.md,2026-06-16T05:53:43Z,2026Q2,0
mutable-state-inc/siliconswarm-at-ensue-plugin,CLAUDE.md,2026-03-18T03:42:33Z,2026Q1,0
diy-accounting-uk/www.diyaccounting.co.uk,CLAUDE.md,2026-02-21T23:52:18Z,2026Q1,0
quilrai/AgentGuard,CLAUDE.md,2026-05-10T10:06:10Z,2026Q2,0
IIIFours/autopilot,CLAUDE.md,2025-07-12T05:29:13Z,2025Q3,0
kobaru-io/api-paywall-cookbook,CLAUDE.md,2026-02-04T14:48:53Z,2026Q1,0
ugurgul9/image-to-pdf,CLAUDE.md,2026-06-03T08:11:46Z,2026Q2,1
jerry73204/zed-autoware-bridge-demo,CLAUDE.md,2025-07-30T16:23:02Z,2025Q3,0
keiranhaax/halie-cli,CLAUDE.md,2026-01-11T14:37:09Z,2026Q1,1
g-coutos/ladeirinha-web,CLAUDE.md,2026-05-15T17:44:39Z,2026Q2,1
cozyartz/salsas,CLAUDE.md,2025-07-09T19:33:21Z,2025Q3,1
ballmdr/lekdedai,CLAUDE.md,2025-09-12T07:24:32Z,2025Q3,0
VillePajala/AI-102-complete,CLAUDE.md,2026-02-19T16:39:16Z,2026Q1,1
nodalfe/acespace,CLAUDE.md,2026-04-09T06:30:08Z,2026Q2,1
Phonbopit/snake-game-html-with-claude,CLAUDE.md,2025-06-19T10:24:57Z,2025Q2,1
abeh9197/PomodoroTimer,CLAUDE.md,2025-06-21T14:25:36Z,2025Q2,0
Setono/sylius-tier-pricing-plugin,CLAUDE.md,2026-05-04T11:33:20Z,2026Q2,0
itsyogesh/relaycode,CLAUDE.md,2026-02-04T20:08:18Z,2026Q1,1
thinkingscript/runtime,CLAUDE.md,2026-02-12T00:46:37Z,2026Q1,0
ICJIA/icjia-vpp-2025,CLAUDE.md,2025-05-17T18:30:55Z,2025Q2,1
Mahmoud-ABK/LLMswitch,CLAUDE.md,2026-05-24T01:59:19Z,2026Q2,0
ssss-yajima/my-ai-rules,CLAUDE.md,2025-06-07T15:35:56Z,2025Q2,0
Mvth1s/SteamFolio,CLAUDE.md,2026-05-19T09:20:07Z,2026Q2,1
obeone/claude-skills,CLAUDE.md,2026-01-28T03:01:26Z,2026Q1,0
kvsankar/moon-mission,CLAUDE.md,2025-08-06T13:52:24Z,2025Q3,1
hasseily/NoxArchaistCompanion,CLAUDE.md,2026-05-02T07:38:15Z,2026Q2,0
batista-fagner/convertHair,CLAUDE.md,2026-05-21T03:08:02Z,2026Q2,0
CaddyGlow/xbridge,CLAUDE.md,2026-04-22T12:39:27Z,2026Q2,0
rajee4132/Finance,CLAUDE.md,2026-05-30T08:32:56Z,2026Q2,0
doqendev/dirava_new,CLAUDE.md,2026-02-25T16:12:30Z,2026Q1,1
keithdv/ClaudeSkills,CLAUDE.md,2026-01-09T05:57:18Z,2026Q1,0
