repo,has_claude,has_agents,has_mcp,has_cursorrules,has_windsurfrules
securego/gosec,1,0,0,0,0
redpanda-data/connect,1,0,0,0,0
Shlomob/ocmonitor-share,1,0,0,0,0
fsprojects/Paket,1,0,0,0,0
mangoszero/server,1,0,0,0,0
dilgerma/node-apps-with-eventsourcing-and-ralph-loop,1,1,0,0,0
ZacCarrico/nof1,1,0,0,0,0
gdiab/georgediab-blog,1,1,0,0,0
jlawyerorg/j-lawyer-calculations,1,0,0,0,0
mihnin/Code_analiz,1,1,0,0,0
Fumnanya92/ChipIn,1,0,0,0,0
wtlinnertz/adapter-syft-sbom,1,0,0,0,0
JRvArk/pppsolutions,1,0,0,0,0
GitUpSer/pawtato-app,1,0,0,0,0
mura123yasu/dotfiles,1,0,0,0,0
kevin-coyle/hangul,1,0,0,0,0
groele/ScholarFlow,1,0,0,0,0
un-lock/unlock-backend,1,0,0,0,0
furinanami/drugkan,1,0,0,0,0
guilhermewolf/spotify-slsk,1,0,0,0,0
BaranziniLab/GastricBypass,1,0,0,0,0
tardigrada78/schulemargadantnet,1,0,0,0,0
Ajay70452/clipking_landing,1,0,0,0,0
dollspace-gay/Protocol-AI,1,0,0,0,0
compiler-explorer/compiler-workflows,1,0,0,0,0
lepinkainen/pyfi-discord,1,0,0,0,0
bssm1989/umo-editor-project,1,0,0,0,0
day8/re-frame2,1,1,0,0,0
PSMRI/Identity-API,1,0,0,0,0
ayushanand9934830199/tnd-game,1,0,0,0,0
somdarv/kalaanba-front,1,1,0,0,0
koeppelmann/eez-op-rollup-prover,1,0,0,0,0
SeasonalHawk/atrium,1,0,0,0,0
KevinSchmitt1/mle-mlops-project,1,0,0,0,0
wayne439/Avisor,1,0,0,0,0
FloWsnr/PhysicsFlow,1,1,0,0,0
nickzren/hipaa-foundation,1,1,0,0,0
ornlneutronimaging/HyperCTui,1,0,0,0,0
Aurealibe/claude-config,1,0,0,0,0
rabeesr/assignment3_workout_tracker,1,0,0,0,0
